"Document_ID","Document_Title","Repository_Path","Filename","Version","Status","Owner","Classification","Baseline","Last_Updated","FullPath"
"WorkProcess","Document WorkProcess","","Document WorkProcess.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\Document WorkProcess.docx"
"A","Document A _ Golden Wings Master Sot Document V-6.1","01_GOVERNANCE","Document A _ Golden Wings Master Sot Document V-6.1.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\01_GOVERNANCE\Document A _ Golden Wings Master Sot Document V-6.1.docx"
"B","Document B _ Founder Equity & Governance Manual","01_GOVERNANCE","Document B _ Founder Equity & Governance Manual.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\01_GOVERNANCE\Document B _ Founder Equity & Governance Manual.docx"
"C","DOCUMENT C _ ANNUAL FOUNDER MILESTONE AGREEMENT","01_GOVERNANCE","DOCUMENT C _ ANNUAL FOUNDER MILESTONE AGREEMENT.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-04","D:\GoldenWings\01_GOVERNANCE\DOCUMENT C _ ANNUAL FOUNDER MILESTONE AGREEMENT.docx"
"D","DOCUMENT D _ EMPLOYEE WEALTH CREATION & LOYALTY PROGRAM MANUAL","01_GOVERNANCE","DOCUMENT D _ EMPLOYEE WEALTH CREATION & LOYALTY PROGRAM MANUAL.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-02","D:\GoldenWings\01_GOVERNANCE\DOCUMENT D _ EMPLOYEE WEALTH CREATION & LOYALTY PROGRAM MANUAL.docx"
"E","Document E _ Client Service Agreement (CSA)","01_GOVERNANCE","Document E _ Client Service Agreement (CSA).docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-17","D:\GoldenWings\01_GOVERNANCE\Document E _ Client Service Agreement (CSA).docx"
"F","Document F _ Companion Employment Agreement (CEA)","01_GOVERNANCE","Document F _ Companion Employment Agreement (CEA).docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-17","D:\GoldenWings\01_GOVERNANCE\Document F _ Companion Employment Agreement (CEA).docx"
"G","Document G _ Crisis Communications Policy","01_GOVERNANCE","Document G _ Crisis Communications Policy.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-04","D:\GoldenWings\01_GOVERNANCE\Document G _ Crisis Communications Policy.docx"
"H","Document H _ Business Continuity & Disaster Recovery Manual","01_GOVERNANCE","Document H _ Business Continuity & Disaster Recovery Manual.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-04","D:\GoldenWings\01_GOVERNANCE\Document H _ Business Continuity & Disaster Recovery Manual.docx"
"I","Document I _ Information Security & Cybersecurity Governance Manual","01_GOVERNANCE","Document I _ Information Security & Cybersecurity Governance Manual.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-17","D:\GoldenWings\01_GOVERNANCE\Document I _ Information Security & Cybersecurity Governance Manual.docx"
